FACT_DATE,COLLATERAL_TYPE,SECURITY_TYPE,MARKET_VALUE_EUR,COLLATERAL_VALUE_EUR
17/09/2019,S,STOCKS,1011635116,766585774
18/09/2019,B,BANK BONDS,8267601209,7292086903
18/09/2019,B,CORPORATE BONDS,2009575803,1665071555
18/09/2019,B,SOVEREIGN GOVERNMENT BONDS,21504453023,19196138951
18/09/2019,B,STATE AGENCIES,1808856060,1696658895
18/09/2019,B,STATE/MUNICIPAL BONDS,2074405001,1974667889
18/09/2019,B,null,1181100554,1094568163
18/09/2019,C,null,24764644971,24339096846
18/09/2019,S,STOCKS,997978779,755290526
19/09/2019,B,BANK BONDS,8498071132,7568193154
19/09/2019,B,CORPORATE BONDS,2066757666,1699224213
19/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22766184521,20271281640
19/09/2019,B,STATE AGENCIES,2080993517,1950001176
19/09/2019,B,STATE/MUNICIPAL BONDS,2062781890,1964465739
19/09/2019,B,null,1758087497,1657226496
19/09/2019,C,null,25674065562,25247311061
19/09/2019,S,STOCKS,1085963808,822881643
20/09/2019,B,BANK BONDS,8670950109,7716523751
20/09/2019,B,CORPORATE BONDS,1951911411,1625775853
20/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22449639532,19966523168
20/09/2019,B,STATE AGENCIES,1855129273,1721844072
20/09/2019,B,STATE/MUNICIPAL BONDS,1937736532,1839634668
20/09/2019,B,null,1589944421,1518796887
20/09/2019,C,null,25807546527,25377517827
20/09/2019,S,STOCKS,1073373816,812966307
23/09/2019,B,BANK BONDS,8439177752,7503336152
23/09/2019,B,CORPORATE BONDS,1962619924,1629126740
23/09/2019,B,SOVEREIGN GOVERNMENT BONDS,21815590557,19398205198
23/09/2019,B,STATE AGENCIES,1832316492,1741202590
23/09/2019,B,STATE/MUNICIPAL BONDS,2049955785,1941345298
23/09/2019,B,null,1301599824,1212710986
23/09/2019,C,null,26299533483,25860553804
23/09/2019,S,STOCKS,1003678103,759344537
24/09/2019,B,BANK BONDS,8508328042,7517026469
24/09/2019,B,CORPORATE BONDS,1856237778,1542355785
24/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22142211543,19679199415
24/09/2019,B,STATE AGENCIES,1749428607,1616477328
24/09/2019,B,STATE/MUNICIPAL BONDS,2126093892,2042972008
24/09/2019,B,null,1005318951,951244313
24/09/2019,C,null,25696511302,25261178676
24/09/2019,S,STOCKS,996848222,753948950
25/09/2019,B,BANK BONDS,8755879245,7774931624
25/09/2019,B,CORPORATE BONDS,1978484251,1658448761
25/09/2019,B,SOVEREIGN GOVERNMENT BONDS,21717093394,19268195102
25/09/2019,B,STATE AGENCIES,1789628016,1658120520
25/09/2019,B,STATE/MUNICIPAL BONDS,2032144889,1956585799
25/09/2019,B,null,993630560,933393128
25/09/2019,C,null,24555540568,24158433388
25/09/2019,S,STOCKS,1021932868,773730104
26/09/2019,B,BANK BONDS,8683517058,7704845529
26/09/2019,B,CORPORATE BONDS,1881708636,1568251203
26/09/2019,B,SOVEREIGN GOVERNMENT BONDS,22068307639,19588908717
26/09/2019,B,STATE AGENCIES,1898259826,1814585638
26/09/2019,B,STATE/MUNICIPAL BONDS,1939531748,1843890613
26/09/2019,B,null,897141836,801525120
26/09/2019,C,null,25004816751,24608217231
26/09/2019,S,STOCKS,1026161161,777110286
27/09/2019,B,BANK BONDS,8502782059,7517686160
27/09/2019,B,CORPORATE BONDS,1922172583,1601298703
27/09/2019,B,SOVEREIGN GOVERNMENT BONDS,21663194724,19299491394
27/09/2019,B,STATE AGENCIES,1826328396,1692689390
27/09/2019,B,STATE/MUNICIPAL BONDS,2125900608,2027703461
27/09/2019,B,null,746454495,663866462
27/09/2019,C,null,25577141278,25179867837
27/09/2019,S,STOCKS,1247403329,940866774
30/09/2019,B,BANK BONDS,8444329307,7538717046
30/09/2019,B,CORPORATE BONDS,1923608113,1605246107
30/09/2019,B,SOVEREIGN GOVERNMENT BONDS,21460857458,19066380958
30/09/2019,B,STATE AGENCIES,1673796506,1550059224
30/09/2019,B,STATE/MUNICIPAL BONDS,1849284843,1761052674
30/09/2019,B,null,1161928750,1093734106
30/09/2019,C,null,25361289729,24974335527
30/09/2019,S,STOCKS,1293601061,974907118
01/10/2019,B,BANK BONDS,8271744543,7333508737
01/10/2019,B,CORPORATE BONDS,1779908358,1486898179
01/10/2019,B,SOVEREIGN GOVERNMENT BONDS,21593683488,19185803383
01/10/2019,B,STATE AGENCIES,1987855552,1894374405
01/10/2019,B,STATE/MUNICIPAL BONDS,1876557875,1784781196
01/10/2019,B,null,894917480,836411236
01/10/2019,C,null,24872921748,24498233403
01/10/2019,S,STOCKS,1200800575,905656096
02/10/2019,B,BANK BONDS,8015782748,7075814548
02/10/2019,B,CORPORATE BONDS,1784836949,1486964890
02/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22470683009,19863408555
02/10/2019,B,STATE AGENCIES,1741952404,1610628582
02/10/2019,B,STATE/MUNICIPAL BONDS,2102520549,2006591686
02/10/2019,B,null,1471678229,1431421771
02/10/2019,C,null,23842086910,23450298609
02/10/2019,S,STOCKS,1152942256,869238482
03/10/2019,B,BANK BONDS,7928244879,6993824924
03/10/2019,B,CORPORATE BONDS,1811122247,1513132052
03/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22730372707,20077232859
03/10/2019,B,STATE AGENCIES,1814180172,1687471173
03/10/2019,B,STATE/MUNICIPAL BONDS,2183329916,2085076388
03/10/2019,B,null,1076079194,1045067409
03/10/2019,C,null,22844654215,22464363858
03/10/2019,S,STOCKS,1195683028,902066838
04/10/2019,B,BANK BONDS,7938388909,6998167274
04/10/2019,B,CORPORATE BONDS,1956594454,1635829821
04/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22802479191,20103082554
04/10/2019,B,STATE AGENCIES,1652875484,1552540601
04/10/2019,B,STATE/MUNICIPAL BONDS,1919607373,1828810843
04/10/2019,B,null,1219011481,1198213632
04/10/2019,C,null,22715174381,22328353412
04/10/2019,S,STOCKS,1186611559,894834336
07/10/2019,B,BANK BONDS,7949448483,7007676964
07/10/2019,B,CORPORATE BONDS,1956523980,1637646212
07/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22527546617,19860148971
07/10/2019,B,STATE AGENCIES,1684840475,1560934508
07/10/2019,B,STATE/MUNICIPAL BONDS,2135017388,2032801963
07/10/2019,B,null,1412133923,1387037198
07/10/2019,C,null,22644233619,22252901954
07/10/2019,S,STOCKS,1227537110,926162162
08/10/2019,B,BANK BONDS,7992341394,7051101612
08/10/2019,B,CORPORATE BONDS,1977629623,1651984964
08/10/2019,B,SOVEREIGN GOVERNMENT BONDS,22129707370,19483975042
08/10/2019,B,STATE AGENCIES,1744207186,1607543900
08/10/2019,B,STATE/MUNICIPAL BONDS,2078192710,1982146859
