FACT_DATE,REQUIREMENT_CURRENT,REQUIREMENT_EOP
30/04/2018,3323849993,3173258479
02/05/2018,3333800181,3323849993
03/05/2018,3342259337,3323849993
04/05/2018,3353047229,3323849993
07/05/2018,3363855746,3323849993
08/05/2018,3373203088,3323849993
09/05/2018,3382959227,3323849993
10/05/2018,3392769459,3323849993
11/05/2018,3401863553,3323849993
14/05/2018,3410057871,3323849993
15/05/2018,3420206576,3323849993
16/05/2018,3429369531,3323849993
17/05/2018,3437651995,3323849993
18/05/2018,3447583577,3323849993
21/05/2018,3457221958,3323849993
22/05/2018,3466448958,3323849993
23/05/2018,3475869408,3323849993
24/05/2018,3483417980,3323849993
25/05/2018,3488560509,3323849993
28/05/2018,3496158429,3323849993
29/05/2018,3502050574,3323849993
30/05/2018,3507613048,3323849993
31/05/2018,3511994538,3323849993
01/06/2018,3516378924,3511994538
04/06/2018,3513980415,3511994538
05/06/2018,3509275263,3511994538
06/06/2018,3505072053,3511994538
07/06/2018,3502291300,3511994538
08/06/2018,3498741245,3511994538
11/06/2018,3496351219,3511994538
12/06/2018,3492163076,3511994538
13/06/2018,3484608529,3511994538
14/06/2018,3478564911,3511994538
15/06/2018,3471186750,3511994538
18/06/2018,3462134367,3506930387
19/06/2018,3454735563,3506930387
20/06/2018,3446264172,3506930387
21/06/2018,3436742044,3506930387
22/06/2018,3428592213,3506930387
25/06/2018,3415880655,3506930387
26/06/2018,3400915803,3506930387
27/06/2018,3393231077,3516994538
28/06/2018,3376977194,3516994538
29/06/2018,3360791672,3516994538
02/07/2018,3345231468,3360791672
03/07/2018,3328138929,3360791672
04/07/2018,3316510136,3365791672
05/07/2018,3300901603,3365791672
06/07/2018,3286991728,3365791672
09/07/2018,3274581825,3365791672
10/07/2018,3263665525,3365791672
11/07/2018,3250919066,3365791672
12/07/2018,3239240591,3365791672
13/07/2018,3227056911,3365791672
16/07/2018,3216768003,3365791672
17/07/2018,3208565197,3365791672
18/07/2018,3202337831,3365791672
19/07/2018,3195977846,3366791672
20/07/2018,3187832734,3366791672
23/07/2018,3179723974,3366791672
24/07/2018,3172240391,3366791672
25/07/2018,3164486918,3366791672
26/07/2018,3155449864,3366791672
27/07/2018,3145926817,3366791672
30/07/2018,3134635824,3366791672
31/07/2018,3125215183,3366791672
01/08/2018,3115947347,3125215183
02/08/2018,3105558125,3125215183
03/08/2018,3094726515,3125215183
06/08/2018,3086578954,3125215183
07/08/2018,3079416923,3125215183
08/08/2018,3073391399,3125215183
09/08/2018,3067803153,3125215183
10/08/2018,3061509532,3125215183
13/08/2018,3056299067,3125215183
14/08/2018,3052747095,3125215183
15/08/2018,3049415977,3125215183
16/08/2018,3045294823,3125215183
17/08/2018,3040841165,3125215183
20/08/2018,3036280296,3125215183
21/08/2018,3031280254,3125215183
22/08/2018,3028187457,3125215183
23/08/2018,3024123907,3125215183
24/08/2018,3020618451,3125215183
27/08/2018,3016491675,3125215183
28/08/2018,3010943737,3125215183
29/08/2018,3005394532,3125215183
30/08/2018,3004423745,3125215183
31/08/2018,3003105183,3125215183
03/09/2018,3002182057,3003105183
04/09/2018,2997480859,3003105183
05/09/2018,2997257476,3003105183
06/09/2018,2996861126,3003105183
07/09/2018,2995916215,3003105183
10/09/2018,2994622425,3003105183
11/09/2018,2993797160,3003105183
12/09/2018,2993161606,3003105183
13/09/2018,2992685758,3003105183
14/09/2018,2993558192,3003105183
17/09/2018,2992766378,3003105183
18/09/2018,2992156892,3003105183
19/09/2018,2991477309,3003105183
20/09/2018,2990600195,3003105183
21/09/2018,2991031739,3003105183
24/09/2018,2991137772,3003105183
25/09/2018,2990024999,3003105183
26/09/2018,2989397798,3003105183
27/09/2018,2989656941,3003105183
28/09/2018,2988137714,3003105183
01/10/2018,2987220118,2988137714
02/10/2018,2986360259,2988137714
03/10/2018,2985068409,2988137714
04/10/2018,2984556456,2988137714
05/10/2018,2983792203,2988137714
08/10/2018,2983829261,2988137714
09/10/2018,2985241157,2988137714
10/10/2018,2988133829,2988137714
11/10/2018,2991729932,2988137714
12/10/2018,2994880901,2988137714
15/10/2018,2997854776,2988137714
16/10/2018,3000250225,2988137714
17/10/2018,3002726545,2988137714
18/10/2018,3005552291,2988137714
19/10/2018,3009177377,2988137714
22/10/2018,3013323418,2988137714
23/10/2018,3016049749,2988137714
24/10/2018,3018720820,2988137714
25/10/2018,3022532975,2988137714
26/10/2018,3026513124,2988137714
29/10/2018,3030633594,2988137714
30/10/2018,3033743014,2988137714
31/10/2018,3036793597,2988137714
01/11/2018,3040493053,3037793597
02/11/2018,3042967009,3037793597
05/11/2018,3044906066,3037793597
06/11/2018,3049471295,3037793597
07/11/2018,3052427233,3036793597
08/11/2018,3056806230,3036793597
09/11/2018,3049466645,3029067979
12/11/2018,3054155143,3029067979
13/11/2018,3059573293,3029067979
14/11/2018,3066182394,3030067979
15/11/2018,3072139471,3030067979
16/11/2018,3078173442,3030067979
19/11/2018,3084524319,3030067979
20/11/2018,3089684845,3030067979
21/11/2018,3094367330,3030067979
22/11/2018,3098523528,3030067979
23/11/2018,3102739967,3030067979
26/11/2018,3106578618,3030067979
27/11/2018,3111089546,3030067979
28/11/2018,3115079267,3030067979
29/11/2018,3118928350,3030067979
30/11/2018,3120255098,3030067979
03/12/2018,3121115736,3120255098
04/12/2018,3122277226,3120255098
05/12/2018,3122896035,3120255098
06/12/2018,3124996725,3120255098
07/12/2018,3127379825,3120255098
10/12/2018,3127580287,3120255098
11/12/2018,3127239844,3120255098
12/12/2018,3126114663,3120255098
13/12/2018,3129537550,3125255098
14/12/2018,3126139016,3125255098
17/12/2018,3122978287,3125255098
18/12/2018,3124523008,3130255098
19/12/2018,3121574767,3130255098
20/12/2018,3118485660,3130255098
21/12/2018,3116645597,3130255098
24/12/2018,3117239475,3130255098
27/12/2018,3115687195,3130255098
28/12/2018,3112835071,3130255098
31/12/2018,3109067744,3130255098
02/01/2019,3108695012,3113835071
03/01/2019,3107834987,3113835071
04/01/2019,3106301874,3113835071
07/01/2019,3105111031,3113835071
08/01/2019,3103682233,3113835071
09/01/2019,3107268746,3118835071
10/01/2019,3096030409,3107596983
11/01/2019,3096007702,3107596983
14/01/2019,3094632288,3107596983
15/01/2019,3093559418,3107596983
16/01/2019,3093167404,3107596983
17/01/2019,3094298480,3107596983
18/01/2019,3094509910,3107596983
21/01/2019,3095055450,3107596983
22/01/2019,3093668577,3107596983
23/01/2019,3091902363,3107596983
24/01/2019,3090005604,3107596983
25/01/2019,3088391717,3107696983
28/01/2019,3087161713,3107696983
29/01/2019,3086321042,3107696983
30/01/2019,3087598150,3107696983
31/01/2019,3089422857,3107696983
01/02/2019,3097781135,3095422857
04/02/2019,3103856211,3100422857
05/02/2019,3103530551,3100422857
06/02/2019,3106855183,3105422857
07/02/2019,3106764646,3105422857
08/02/2019,3108951053,3105422857
11/02/2019,3112226430,3105422857
12/02/2019,3115177444,3105422857
13/02/2019,3122734201,3110422857
14/02/2019,3129711830,3115422857
15/02/2019,3130145093,3112261598
18/02/2019,3133640164,3112261598
19/02/2019,3135885569,3112261598
20/02/2019,3138043818,3112261598
21/02/2019,3139472300,3112261598
22/02/2019,3140946180,3112361598
25/02/2019,3177755797,3112361598
26/02/2019,3179368622,3112361598
27/02/2019,3182633728,3112361598
28/02/2019,3184444588,3112361598
01/03/2019,3185741805,3183355726
04/03/2019,3177388043,3168978658
